UTCTimestamp_ms,SpO2
1626097438,0
1626097439,0
1626097440,0
1626097441,0
1626097442,0
1626097443,0
1626097444,0
1626097445,0
1626097446,0
1626097447,0
1626097448,0
1626097449,0
1626097450,0
1626097451,0
1626097452,0
1626097453,88
1626097454,86
1626097455,85
1626097456,84
1626097457,83
1626097458,83
1626097459,83
1626097460,83
1626097461,84
1626097462,85
1626097463,84
1626097464,82
1626097465,81
1626097466,80
1626097467,79
1626097468,79
1626097469,79
1626097470,80
1626097471,80
1626097472,79
1626097473,80
1626097474,79
1626097475,80
1626097476,81
1626097477,82
1626097478,82
1626097479,82
1626097480,82
1626097481,81
1626097482,81
1626097483,80
1626097484,80
1626097485,79
1626097486,79
1626097487,79
1626097488,79
1626097489,79
1626097490,80
1626097491,80
1626097492,80
1626097493,0
1626097494,0
1626097495,0
1626097496,0
1626097497,0
1626097498,0
1626097499,0
1626097500,0
1626097501,0
1626097502,0
1626097503,0
1626097504,0
1626097505,0
1626097506,0
1626097507,0
1626097508,0
1626097509,0
1626097510,0
1626097511,0
1626097512,0
1626097513,0
1626097514,0
1626097515,0
1626097516,0
1626097517,0
1626097518,0
1626097519,0
1626097520,0
1626097521,0
1626097522,0
1626097523,0
1626097524,0
1626097525,0
1626097526,0
1626097527,0
1626097528,0
1626097529,0
1626097530,0
1626097531,0
1626097532,0
1626097533,0
1626097534,0
1626097535,0
1626097536,0
1626097537,0
1626097538,0
1626097539,0
1626097540,0
1626097541,0
1626097542,0
1626097543,0
1626097544,0
1626097545,79
1626097546,79
1626097547,80
1626097548,79
1626097549,79
1626097550,79
1626097551,79
1626097552,78
1626097553,79
1626097554,79
1626097555,79
1626097556,79
1626097557,79
1626097558,79
1626097559,79
1626097560,79
1626097561,79
1626097562,79
1626097563,79
1626097564,79
1626097565,79
1626097566,79
1626097567,79
1626097568,80
1626097569,79
1626097570,79
1626097571,79
1626097572,79
1626097573,79
1626097574,79
1626097575,78
1626097576,78
1626097577,78
1626097578,78
1626097579,78
1626097580,78
1626097581,78
1626097582,78
1626097583,78
1626097584,78
1626097585,78
1626097586,78
1626097587,78
1626097588,78
1626097589,78
1626097590,78
1626097591,78
1626097592,78
1626097593,78
1626097594,78
1626097595,78
1626097596,78
1626097597,78
1626097598,78
1626097599,78
1626097600,79
1626097601,79
1626097602,79
1626097603,80
1626097604,80
1626097605,80
1626097606,80
1626097607,80
1626097608,80
1626097609,80
1626097610,80
1626097611,80
1626097612,80
1626097613,80
1626097614,80
1626097615,79
1626097616,79
1626097617,79
1626097618,78
1626097619,78
1626097620,78
1626097621,78
1626097622,78
1626097623,78
1626097624,78
1626097625,79
1626097626,79
1626097627,79
1626097628,79
1626097629,79
1626097630,79
1626097631,79
1626097632,79
1626097633,79
1626097634,80
1626097635,80
1626097636,80
1626097637,80
1626097638,81
1626097639,81
1626097640,81
1626097641,81
1626097642,81
1626097643,81
1626097644,81
1626097645,81
1626097646,81
1626097647,81
1626097648,81
1626097649,81
1626097650,81
1626097651,80
1626097652,80
1626097653,80
1626097654,80
1626097655,80
1626097656,80
1626097657,80
1626097658,80
1626097659,80
1626097660,80
1626097661,80
1626097662,81
1626097663,81
1626097664,81
1626097665,82
1626097666,82
1626097667,83
1626097668,83
1626097669,83
1626097670,84
1626097671,84
1626097672,84
1626097673,84
1626097674,84
1626097675,84
1626097676,84
1626097677,85
1626097678,85
1626097679,85
1626097680,85
1626097681,85
1626097682,85
1626097683,85
1626097684,85
1626097685,85
1626097686,85
1626097687,85
1626097688,85
1626097689,85
1626097690,85
