UTCTimestamp_ms,SpO2
1624365002,0
1624365003,0
1624365004,0
1624365005,0
1624365006,0
1624365007,0
1624365008,0
1624365009,0
1624365010,0
1624365011,0
1624365012,0
1624365013,0
1624365014,0
1624365015,0
1624365016,0
1624365017,89
1624365018,86
1624365019,84
1624365020,83
1624365021,82
1624365022,82
1624365023,82
1624365024,82
1624365025,82
1624365026,82
1624365027,82
1624365028,82
1624365029,82
1624365030,83
1624365031,83
1624365032,84
1624365033,85
1624365034,85
1624365035,84
1624365036,84
1624365037,85
1624365038,85
1624365039,85
1624365040,86
1624365041,86
1624365042,86
1624365043,87
1624365044,87
1624365045,88
1624365046,88
1624365047,89
1624365048,89
1624365049,89
1624365050,89
1624365051,90
1624365052,90
1624365053,90
1624365054,90
1624365055,89
1624365056,89
1624365057,89
1624365058,89
1624365059,89
1624365060,89
1624365061,89
1624365062,89
1624365063,89
1624365064,89
1624365065,89
1624365066,89
1624365067,88
1624365068,88
1624365069,88
1624365070,87
1624365071,87
1624365072,87
1624365073,87
1624365074,87
1624365075,87
1624365076,87
1624365077,87
1624365078,87
1624365079,87
1624365080,87
1624365081,87
1624365082,87
1624365083,87
1624365084,87
1624365085,87
1624365087,87
1624365088,87
1624365089,87
1624365090,87
1624365091,87
1624365092,87
1624365093,87
1624365094,87
1624365095,87
1624365096,86
1624365097,86
1624365098,85
1624365099,85
1624365100,85
1624365101,86
1624365102,86
1624365103,85
1624365104,85
1624365105,85
1624365106,85
1624365107,85
1624365108,85
1624365109,86
1624365110,86
1624365111,86
1624365112,87
1624365113,87
1624365114,87
1624365115,87
1624365116,87
1624365117,87
1624365118,87
1624365119,88
1624365120,88
1624365121,88
1624365122,88
1624365123,88
1624365124,88
1624365125,88
1624365126,88
1624365127,88
1624365128,88
1624365129,88
1624365130,88
1624365131,88
1624365132,88
1624365133,88
1624365134,88
1624365135,88
1624365136,88
1624365137,88
1624365138,89
1624365139,89
1624365140,89
1624365141,89
1624365142,90
1624365143,90
1624365144,90
1624365145,90
1624365146,90
1624365147,90
1624365148,89
1624365149,89
1624365150,89
1624365151,89
1624365152,89
1624365153,89
1624365154,89
1624365155,89
1624365156,89
1624365157,89
1624365158,89
1624365159,89
1624365160,89
1624365161,89
1624365162,89
1624365163,89
1624365164,89
1624365165,88
1624365166,88
1624365167,88
1624365168,88
1624365169,88
1624365170,88
1624365171,88
1624365172,88
1624365173,88
1624365174,88
1624365175,88
1624365176,88
1624365177,88
1624365178,88
1624365179,88
1624365180,88
1624365181,88
1624365182,88
1624365183,89
1624365184,89
1624365185,89
1624365186,89
1624365187,89
1624365188,89
1624365189,89
1624365190,89
1624365191,89
1624365192,89
1624365193,89
1624365194,89
1624365195,89
1624365196,89
1624365197,88
1624365198,88
1624365199,88
1624365200,88
1624365201,88
1624365202,88
1624365203,88
1624365204,88
1624365205,88
1624365206,88
1624365207,88
1624365208,88
1624365209,88
1624365210,88
1624365211,88
1624365212,88
1624365213,88
1624365214,88
1624365215,89
1624365216,89
1624365217,89
1624365218,89
1624365219,89
1624365220,89
1624365221,89
1624365222,89
1624365223,89
1624365224,89
1624365225,89
1624365226,89
1624365227,89
1624365228,89
1624365229,88
1624365230,88
1624365231,88
1624365232,88
1624365233,88
1624365234,88
1624365235,88
1624365236,88
1624365237,88
1624365238,88
1624365240,88
1624365241,88
1624365242,89
1624365243,89
1624365244,89
1624365245,89
1624365246,89
1624365247,89
1624365248,89
1624365249,89
1624365250,89
1624365251,89
1624365252,89
1624365253,89
1624365254,89
1624365255,89
1624365256,89
1624365257,89
1624365258,89
1624365259,89
1624365260,89
1624365261,89
1624365262,89
1624365263,89
1624365264,89
1624365265,89
1624365266,89
1624365267,89
1624365268,89
1624365269,89
1624365270,89
1624365271,89
1624365272,89
1624365273,89
1624365274,89
1624365275,89
1624365276,89
1624365277,89
1624365278,89
1624365279,89
1624365280,89
1624365281,89
1624365282,89
