UTCTimestamp_ms,SpO2
1625062004,0
1625062005,0
1625062006,0
1625062007,0
1625062008,0
1625062009,0
1625062010,0
1625062011,0
1625062012,0
1625062013,0
1625062014,0
1625062015,0
1625062016,0
1625062017,0
1625062018,0
1625062019,100
1625062020,100
1625062021,100
1625062022,99
1625062023,99
1625062024,99
1625062025,98
1625062026,98
1625062027,97
1625062028,97
1625062029,97
1625062030,96
1625062031,96
1625062032,96
1625062033,96
1625062034,0
1625062035,0
1625062036,0
1625062037,0
1625062038,0
1625062039,0
1625062040,0
1625062041,0
1625062042,0
1625062043,0
1625062044,0
1625062045,0
1625062046,0
1625062047,0
1625062048,93
1625062049,93
1625062051,93
1625062052,93
1625062053,93
1625062054,94
1625062055,92
1625062056,92
1625062057,92
1625062058,92
1625062059,92
1625062060,93
1625062061,93
1625062062,94
1625062063,94
1625062064,95
1625062065,95
1625062066,95
1625062067,95
1625062068,95
1625062069,95
1625062070,95
1625062071,95
1625062072,95
1625062073,95
1625062074,94
1625062075,94
1625062076,94
1625062077,94
1625062078,94
1625062079,94
1625062080,94
1625062081,0
1625062082,0
1625062083,0
1625062084,0
1625062085,0
1625062086,95
1625062087,95
1625062088,95
1625062089,96
1625062090,96
1625062091,96
1625062092,94
1625062093,93
1625062094,93
1625062095,92
1625062096,92
1625062097,93
1625062098,92
1625062099,92
1625062100,93
1625062101,92
1625062102,92
1625062103,92
1625062104,91
1625062105,92
1625062106,91
1625062107,90
1625062108,90
1625062109,90
1625062110,90
1625062111,90
1625062112,90
1625062113,89
1625062114,89
1625062115,89
1625062116,89
1625062117,88
1625062118,88
1625062119,88
1625062120,88
1625062121,88
1625062122,88
1625062123,88
1625062124,88
1625062125,88
1625062126,88
1625062127,88
1625062128,88
1625062129,89
1625062130,89
1625062131,88
1625062132,89
1625062133,89
1625062134,89
1625062136,89
1625062137,89
1625062138,89
1625062139,89
1625062140,89
1625062141,89
1625062142,89
1625062143,89
1625062144,89
1625062145,90
1625062146,91
1625062147,91
1625062148,92
1625062149,0
1625062150,0
1625062151,0
1625062152,92
1625062153,92
1625062154,92
1625062155,92
1625062156,93
1625062157,93
1625062158,93
1625062159,93
1625062160,93
1625062161,93
1625062162,93
1625062163,92
1625062164,92
1625062165,92
1625062166,92
1625062167,92
1625062168,92
1625062169,92
1625062170,92
1625062171,92
1625062172,92
1625062173,92
1625062174,92
1625062175,92
1625062176,91
1625062177,91
1625062178,92
1625062179,91
1625062180,91
1625062181,91
1625062182,91
1625062183,91
1625062184,91
1625062185,90
1625062186,89
1625062187,88
1625062188,88
1625062189,88
1625062190,87
1625062191,88
1625062192,88
1625062193,88
1625062194,89
1625062195,89
1625062196,89
1625062197,89
1625062198,89
1625062199,89
1625062200,89
1625062201,89
1625062202,88
1625062203,88
1625062204,87
1625062205,87
1625062206,86
1625062207,86
1625062208,86
1625062209,86
1625062210,86
1625062211,86
1625062212,86
1625062213,86
1625062214,87
1625062215,87
1625062216,87
1625062217,87
1625062218,87
1625062220,88
1625062221,88
1625062222,88
1625062223,88
1625062224,88
1625062225,88
1625062226,88
1625062227,89
1625062228,89
1625062229,90
1625062230,90
1625062231,90
1625062232,91
1625062233,91
1625062234,91
1625062235,92
1625062236,92
1625062237,92
1625062238,93
1625062239,93
1625062240,93
1625062241,93
1625062242,92
1625062243,92
1625062244,92
1625062245,92
1625062246,92
1625062247,93
1625062248,93
1625062249,93
1625062250,93
1625062251,93
1625062252,93
1625062253,93
1625062254,93
1625062255,93
1625062256,93
1625062257,93
1625062258,93
1625062259,93
1625062260,93
1625062261,93
1625062262,92
1625062263,92
1625062264,92
1625062265,92
1625062266,92
1625062267,92
1625062268,92
1625062269,92
1625062270,92
1625062271,92
1625062272,92
1625062273,93
1625062274,93
1625062275,92
1625062276,92
1625062277,92
1625062278,92
1625062279,92
1625062280,92
1625062281,92
1625062282,92
1625062283,92
1625062284,92
1625062285,92
1625062286,92
1625062287,92
1625062288,92
1625062289,92
1625062290,92
1625062291,92
1625062292,92
1625062293,92
1625062294,92
1625062295,92
1625062296,92
1625062297,92
1625062298,92
1625062299,91
1625062300,91
1625062301,92
1625062302,92
1625062303,92
1625062305,92
1625062306,92
1625062307,92
1625062308,92
1625062309,92
1625062310,92
1625062311,92
1625062312,93
1625062313,93
1625062314,93
1625062315,93
1625062316,93
1625062317,92
1625062318,92
1625062319,92
1625062320,92
1625062321,92
1625062322,92
1625062323,92
1625062324,92
1625062325,92
1625062326,92
1625062327,92
1625062328,92
1625062329,92
1625062330,92
1625062331,92
1625062332,92
1625062333,92
1625062334,92
1625062335,92
1625062336,92
1625062337,92
1625062338,92
1625062339,92
1625062340,92
1625062341,92
1625062342,92
1625062343,93
1625062344,93
1625062345,93
1625062346,93
1625062347,93
1625062348,93
1625062349,93
1625062350,93
1625062351,93
1625062352,93
1625062353,93
1625062354,93
1625062355,92
1625062356,92
1625062357,92
1625062358,92
1625062359,92
1625062360,92
1625062361,92
1625062362,92
1625062363,92
1625062364,92
1625062365,92
1625062366,92
1625062367,92
1625062368,92
1625062369,92
1625062370,92
1625062371,92
1625062372,93
1625062373,93
1625062374,93
1625062375,92
1625062376,92
1625062377,92
1625062378,92
1625062379,93
1625062380,93
1625062381,93
1625062382,93
1625062383,92
1625062384,92
1625062385,92
1625062386,92
1625062387,92
1625062389,92
1625062390,91
1625062391,91
1625062392,92
1625062393,92
1625062394,92
1625062395,92
1625062396,93
1625062397,93
1625062398,93
1625062399,93
1625062400,93
1625062401,93
1625062402,93
1625062403,94
1625062404,94
1625062405,94
1625062406,93
1625062407,93
1625062408,93
1625062409,93
1625062410,92
1625062411,92
1625062412,92
1625062413,93
1625062414,93
1625062415,93
1625062416,93
1625062417,93
1625062418,93
1625062419,93
1625062420,93
1625062421,93
1625062422,93
1625062423,93
1625062424,93
1625062425,93
1625062426,93
1625062427,93
1625062428,93
1625062429,93
1625062430,93
1625062431,93
1625062432,93
1625062433,93
1625062434,93
1625062435,93
1625062436,93
1625062437,93
1625062438,93
1625062439,93
1625062440,93
1625062441,93
1625062442,93
1625062443,93
1625062444,93
1625062445,93
1625062446,93
1625062447,93
